login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
krishnaik06,krishnaik06/3-Months-RoadMap-For-Data-Science,2022-08-18T15:50:22Z,239,239,,True,True,gpl-3.0
krishnaik06,krishnaik06/5-Days-Live-EDA-and-Feature-Engineering,2022-02-17T09:03:19Z,188,188,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/6-Months-Data-Science-Roadmap-,2023-01-07T06:41:22Z,1742,1742,,True,True,gpl-3.0
krishnaik06,krishnaik06/Advanced-CNN-Architectures,2020-09-10T16:14:51Z,46,46,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/Advanced-House-Price-Prediction-,2020-01-31T05:39:25Z,382,382,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/AI,2019-01-28T03:33:49Z,11,11,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/AI-Engineer-Roadmap-2024,2024-04-05T06:57:53Z,559,559,,True,True,gpl-3.0
krishnaik06,krishnaik06/Airfoil-Regression-With-Deployment,2022-05-29T05:50:20Z,21,21,HTML,True,True,gpl-3.0
krishnaik06,krishnaik06/AirLines-Passengers-Forecasting-LSTM,2020-05-25T08:17:12Z,17,17,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/algearianforestfire,2023-03-14T17:48:13Z,3,3,Jupyter Notebook,True,False,
krishnaik06,krishnaik06/All-Hyperparamter-Optimization,2020-07-23T14:05:38Z,108,108,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/Amazon-Review-Scraper,2019-12-15T05:23:47Z,7,7,,True,True,mit
krishnaik06,krishnaik06/Amazon-use-cases,2020-03-12T13:08:58Z,23,23,,True,True,
krishnaik06,krishnaik06/ANN-CLassification-Churn,2024-06-29T07:43:37Z,6,6,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/ANN-Implementation,2022-08-21T04:19:06Z,15,15,,True,True,
krishnaik06,krishnaik06/Anomaly-Pycaret,2020-04-27T07:01:13Z,20,20,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/appgithubaction,2024-09-02T07:45:23Z,9,9,Python,True,True,
krishnaik06,krishnaik06/Application,2022-07-25T04:41:54Z,4,4,,True,True,gpl-3.0
krishnaik06,krishnaik06/AQI-Deployment,2019-12-29T11:20:25Z,8,8,HTML,True,True,gpl-3.0
krishnaik06,krishnaik06/AQI-Project,2019-12-02T17:06:56Z,115,115,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/Arima,2018-07-31T15:55:34Z,7,7,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/ARIMA-And-Seasonal-ARIMA,2020-03-19T06:18:14Z,202,202,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/Assignments,2021-03-13T12:18:29Z,8,8,,True,True,
krishnaik06,krishnaik06/Audio-Classification,2021-03-31T10:06:19Z,92,92,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/Augmented-Reality,2020-10-28T03:33:58Z,10,10,,True,True,
krishnaik06,krishnaik06/Autoscrapper,2021-04-22T13:49:15Z,44,44,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/Autoviz,2021-04-25T13:42:30Z,18,18,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/Avgword2vec-Implementation,2023-01-29T11:27:57Z,10,10,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/AWS,2021-01-06T15:57:21Z,23,23,Jupyter Notebook,True,True,
krishnaik06,krishnaik06/AWS-Bedrock,2024-02-04T12:41:25Z,43,43,Python,True,True,gpl-3.0
championswimmer,championswimmer/2016.opentechsummit.net,2016-04-26T18:32:42Z,0,0,CSS,True,False,
championswimmer,championswimmer/8051_Basic_Programs,2015-07-27T05:10:49Z,0,0,Assembly,True,True,
championswimmer,championswimmer/AdventOfCode2021,2021-12-22T22:28:22Z,1,1,Kotlin,True,True,
championswimmer,championswimmer/AdventOfCode2022,2022-12-03T22:15:19Z,1,1,TypeScript,True,True,
championswimmer,championswimmer/AdventOfCode2023,2023-12-01T19:19:53Z,1,1,TypeScript,True,True,
championswimmer,championswimmer/AlgorithmPractice,2017-02-24T16:31:15Z,3,3,Java,True,True,
championswimmer,championswimmer/android,2018-03-25T15:42:41Z,1,1,Java,True,True,
championswimmer,championswimmer/android-drawable-converter,2015-06-14T13:31:37Z,1,1,Java,True,False,
championswimmer,championswimmer/Android-Library-Sample,2016-11-06T04:59:22Z,0,0,Java,True,True,
championswimmer,championswimmer/android-locales,2015-04-29T20:37:11Z,210,210,,True,True,
championswimmer,championswimmer/Android-SocialButtons,2015-10-31T22:36:49Z,148,148,Java,True,True,other
championswimmer,championswimmer/Android-Tests-Example,2016-01-06T12:09:27Z,5,5,Java,True,True,
championswimmer,championswimmer/Android2016Summer,2016-07-19T06:36:57Z,3,3,Java,True,True,
championswimmer,championswimmer/AndroidSample_Retrofit_RESTAPI,2017-07-02T08:47:09Z,0,0,Java,True,True,
championswimmer,championswimmer/AndroidWear_ComplicationProvider_Sample,2018-03-02T16:27:34Z,2,2,Kotlin,True,True,
championswimmer,championswimmer/android_device_semc_es209ra,2012-10-21T06:20:49Z,0,0,C,True,True,
championswimmer,championswimmer/android_device_sony_dogo,2013-11-17T17:03:52Z,0,0,C,True,True,
championswimmer,championswimmer/android_device_sony_msm8974-common,2015-04-13T15:11:45Z,0,0,C++,True,True,
